Reference, Value, Footprint, Datasheet, PN, kicost:pricing, manf#, DNP
"U4","Hi-Link_SMPS","hi-link_smps:HKLPM01","","HLK-PM01","50:$2.74","",""
"RV2","Varistor","SMD_Packages:SMD-4032","","VP3225K401R275","","",""
"RV1","Varistor","SMD_Packages:SMD-4032","","VP3225K401R275","","",""
"RV3","Varistor","SMD_Packages:SMD-4032","","VP3225K401R275","","VP3225K401R275",""
"J1","CONN_01X06","Connectors_Phoenix:PhoenixContact_MC-G_06x5.08mm_Angled","","1759059","","1759059",""
"R5","220K","Resistor_SMD:R_1206_3216Metric","","R","","CRCW1206220KFKEA",""
"R12","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R15","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R22","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R6","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R13","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R16","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"R23","220K","Resistor_SMD:R_1206_3216Metric","","R","","",""
"U5","dc-dc","hi-link_smps:SIP4","","ROE-0505S","","ROE-0505S",""
"R25","1K","Resistor_SMD:R_0805_2012Metric","","R","","CRG0603F1K0",""
"R26","1K","Resistor_SMD:R_0805_2012Metric","","R","","",""
"F1","Polyfuse","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","","0ZRE0012FF1C","","0ZRE0012FF1C",""
"C3",".033u","Capacitor_SMD:C_0805_2012Metric","","C","","CC0603KRX7R9BB333",""
"C1",".033u","Capacitor_SMD:C_0805_2012Metric","","C","","",""
"R1","5.8R","Resistor_SMD:R_0603_1608Metric","","R0603","","CPF0603B5R76E1",""
"R2","5.8R","Resistor_SMD:R_0603_1608Metric","","R0603","","",""
"L1","Ferrite_Bead_Small","Inductor_SMD:L_1206_3216Metric","","AIML-1206-R27K-T","","AIML-1206-R27K-T",""
"SYM1","SYM_Flash_Small","Whatnick_logo:Fsilk_HV","","X","","","1"
"G1","LOGO","Whatnick_logo:Whatnick_logo","","X","","","1"
"LOGO_OSHW1","Logo_Open_Hardware_Small","Symbols:OSHW-Symbol_6.7x6mm_SilkScreen","","X","","","1"
"R3","5.8R","Resistor_SMD:R_0603_1608Metric","","R0603","","CPF0603B5R76E1",""
"R4","5.8R","Resistor_SMD:R_0603_1608Metric","","R0603","","",""
"D1","IND_LED","Capacitor_SMD:C_0805_2012Metric","","LED","","",""
"R8","499","Resistor_SMD:R_0805_2012Metric","","R","","",""
"U1","TRS35_3","HappyDayEnergyMonitor:Audio-Jack","","SJ-3523-SMT-TR","","",""
"U2","TRS35_3","HappyDayEnergyMonitor:Audio-Jack","","SJ-3523-SMT-TR","","",""
"U3","AP7365-33YG-13","Package_TO_SOT_SMD:SOT-89-3","","AP7365-33YG-13","","",""
"C4","1u","Capacitor_SMD:C_0805_2012Metric","","C","","",""
"C6","1u","Capacitor_SMD:C_0805_2012Metric","","C","","",""
"U6","AP7365-33YG-13","Package_TO_SOT_SMD:SOT-89-3","","AP7365-33YG-13","","",""
"C5","1u","Capacitor_SMD:C_0805_2012Metric","","C","","",""
"C7","1u","Capacitor_SMD:C_0805_2012Metric","","C","","",""
"D2","IND_LED","Capacitor_SMD:C_0805_2012Metric","","LED","","",""
"R9","499","Resistor_SMD:R_0805_2012Metric","","R","","",""
"J2","CONN_02X18","hi-link_smps:PCIE-36-SKT","","10018784-10210TLF","","",""
